ReturnID,OrderID,ProductID,CustomerID,StoreID,ReturnReason,ReturnDate,RefundAmount,ReturnStatus
17794,12794,1011,15794,2075,Stale Product,2025-02-12 08:33:03.428463,300,Processed
13898,8898,1030,11898,2050,Damaged Item,2025-01-25 20:43:03.428463,875,Processed
17271,12271,1012,15271,2056,Damaged Item,2025-02-08 22:13:03.428463,360,Processed
12959,7959,1028,10959,2050,Stale Product,2025-02-11 06:23:03.428463,600,Processed
13863,8863,1024,11863,2016,Stale Product,2025-02-22 05:21:03.428463,1125,Processed
13221,8221,1038,11221,2094,Stale Product,2025-02-05 23:08:03.428463,450,Processed
16430,11430,1050,14430,2068,Damaged Item,2025-01-26 06:36:03.428463,297,Processed
10730,5730,1031,8730,2060,Damaged Item,2025-02-07 13:44:03.428463,650,Processed
17110,12110,1002,15110,2037,Stale Product,2025-02-20 20:19:03.428463,40,Processed
13281,8281,1022,11281,2039,Stale Product,2025-02-19 06:03:03.428463,320,Processed
16754,11754,1023,14754,2010,Stale Product,2025-02-03 13:07:03.428463,675,Processed
17463,12463,1015,15463,2009,Damaged Item,2025-02-04 10:47:03.428463,345,Processed
14541,9541,1001,12541,2090,Damaged Item,2025-02-21 20:08:03.428463,260,Processed
8057,3057,1024,6057,2073,Damaged Item,2025-02-15 02:37:03.428463,675,Processed
16855,11855,1030,14855,2006,Damaged Item,2025-01-22 10:46:03.428463,875,Processed
8247,3247,1025,6247,2007,Damaged Item,2025-02-11 03:58:03.428463,45,Processed
13269,8269,1000,11269,2087,Stale Product,2025-02-20 05:58:03.428463,360,Processed
11020,6020,1001,9020,2099,Damaged Item,2025-01-31 23:31:03.428463,1300,Processed
15012,10012,1017,13012,2040,Damaged Item,2025-02-03 14:42:03.428463,240,Processed
11628,6628,1000,9628,2053,Stale Product,2025-01-26 03:40:03.428463,72,Processed
14068,9068,1006,12068,2050,Damaged Item,2025-02-10 23:44:03.428463,70,Processed
15882,10882,1029,13882,2023,Stale Product,2025-01-25 13:34:03.428463,385,Processed
10623,5623,1040,8623,2013,Damaged Item,2025-02-20 04:26:03.428463,160,Processed
17233,12233,1024,15233,2054,Damaged Item,2025-02-12 02:01:03.428463,675,Processed
9566,4566,1028,7566,2083,Stale Product,2025-01-29 14:57:03.428463,450,Processed
14733,9733,1022,12733,2061,Damaged Item,2025-02-01 20:32:03.428463,480,Processed
13143,8143,1000,11143,2021,Stale Product,2025-01-24 07:26:03.428463,216,Processed
10915,5915,1004,8915,2085,Stale Product,2025-01-31 23:43:03.428463,84,Processed
11343,6343,1015,9343,2003,Damaged Item,2025-02-05 19:45:03.428463,575,Processed
8213,3213,1015,6213,2087,Damaged Item,2025-02-09 18:03:03.428463,460,Processed
11639,6639,1027,9639,2044,Stale Product,2025-01-31 16:15:03.428463,297,Processed
9045,4045,1045,7045,2020,Damaged Item,2025-02-06 12:54:03.428463,320,Processed
17016,12016,1031,15016,2097,Stale Product,2025-02-19 13:05:03.428463,650,Processed
11097,6097,1021,9097,2012,Stale Product,2025-01-28 22:37:03.428463,2995,Processed
14024,9024,1018,12024,2012,Damaged Item,2025-01-31 10:32:03.428463,950,Processed
13605,8605,1013,11605,2028,Damaged Item,2025-02-04 01:40:03.428463,840,Processed
13571,8571,1012,11571,2066,Damaged Item,2025-02-09 07:05:03.428463,900,Processed
12132,7132,1006,10132,2024,Damaged Item,2025-02-11 04:05:03.428463,56,Processed
13193,8193,1010,11193,2004,Damaged Item,2025-02-01 05:18:03.428463,540,Processed
14294,9294,1028,12294,2012,Stale Product,2025-01-28 09:09:03.428463,600,Processed
12249,7249,1007,10249,2026,Stale Product,2025-02-12 13:40:03.428463,40,Processed
15637,10637,1014,13637,2036,Stale Product,2025-02-11 23:28:03.428463,290,Processed
16330,11330,1046,14330,2078,Damaged Item,2025-02-11 02:02:03.428463,270,Processed
16309,11309,1034,14309,2045,Damaged Item,2025-02-01 20:30:03.428463,630,Processed
10565,5565,1016,8565,2073,Stale Product,2025-01-28 09:19:03.428463,150,Processed
15026,10026,1019,13026,2055,Stale Product,2025-01-31 12:39:03.428463,398,Processed
12729,7729,1041,10729,2032,Stale Product,2025-02-11 22:15:03.428463,1375,Processed
10368,5368,1029,8368,2061,Damaged Item,2025-01-28 17:27:03.428463,770,Processed
9790,4790,1030,7790,2049,Stale Product,2025-02-19 06:00:03.428463,525,Processed
11637,6637,1045,9637,2037,Damaged Item,2025-01-25 19:11:03.428463,80,Processed
11971,6971,1019,9971,2030,Stale Product,2025-02-10 15:44:03.428463,995,Processed
17421,12421,1036,15421,2020,Damaged Item,2025-02-15 16:15:03.428463,260,Processed
12325,7325,1050,10325,2097,Stale Product,2025-02-09 16:05:03.428463,99,Processed
12392,7392,1026,10392,2030,Stale Product,2025-02-15 20:50:03.428463,897,Processed
11194,6194,1049,9194,2094,Stale Product,2025-02-15 01:29:03.428463,240,Processed
13927,8927,1035,11927,2064,Stale Product,2025-02-11 23:40:03.428463,90,Processed
15785,10785,1001,13785,2042,Stale Product,2025-02-01 06:31:03.428463,520,Processed
15088,10088,1027,13088,2053,Stale Product,2025-01-29 16:30:03.428463,99,Processed
11702,6702,1025,9702,2076,Stale Product,2025-02-20 12:44:03.428463,225,Processed
